X1,X2,X3,Y
7,0,0,16870.04932
7,0,1,17806.22222
7,0,2,20280.61538
7,0,4,22751.17949
7,0,6,22412.07547
7,0,8,13308.12121
7,0.14,0,16217.53695
7,0.14,1,17974.85714
7,0.14,2,19975.75758
7,0.14,4,20661.33333
7,0.14,6,20195.55556
7,0.14,8,12463.15789
7,0.28,0,15467.12057
7,0.28,1,17432.77419
7,0.28,2,19617.18519
7,0.28,4,21679.86087
7,0.28,6,20434.21138
7,0.28,8,12202.66667
7,0.43,0,15299.39223
7,0.43,1,17267.80952
7,0.43,2,19931.85882
7,0.43,4,20974.76923
7,0.43,6,20376.51064
7,0.43,8,11386.26866
7,0.56,0,15106.86567
7,0.56,1,18313.14286
7,0.56,2,19744
7,0.56,4,21527.63077
7,0.56,6,20298.56311
7,0.56,8,11915.63636
7,0.7,0,15123.01714
7,0.7,1,18360.32
7,0.7,2,20730.43478
7,0.7,4,21797.92593
7,0.7,6,20145.40351
7,0.7,8,11689.14286
12,0,0,19190.76721
12,0,1,21011.32075
12,0,2,22734.6506
12,0,4,23884.8
12,0,6,21396.48
12,0,8,12317.25714
12,0.14,0,17733.53086
12,0.14,1,19301.43396
12,0.14,2,21894.5641
12,0.14,4,23084.40816
12,0.14,6,20981.15254
12,0.14,8,11579.53488
12,0.28,0,17509.74359
12,0.28,1,19212.8
12,0.28,2,21639.52941
12,0.28,4,23374.76923
12,0.28,6,21151.78523
12,0.28,8,11370.66667
12,0.43,0,17048.86331
12,0.43,1,18883.55556
12,0.43,2,22252.1165
12,0.43,4,23579.56923
12,0.43,6,20600.93252
12,0.43,8,11369.6
12,0.56,0,16714.62348
12,0.56,1,19366.17544
12,0.56,2,22826.16471
12,0.56,4,23678.73267
12,0.56,6,20616.69903
12,0.56,8,11693.71429
12,0.7,0,17359.84158
12,0.7,1,19314.52632
12,0.7,2,22499.55556
12,0.7,4,24296.24742
12,0.7,6,21819.96396
12,0.7,8,11566.93333
16,0,0,21365.78404
16,0,1,22905.53535
16,0,2,24444.87805
16,0,4,24546.66667
16,0,6,19972
16,0,8,11579.73333
16,0.14,0,20068
16,0.14,1,21264.51613
16,0.14,2,23779.94521
16,0.14,4,24038.4
16,0.14,6,20104.37383
16,0.14,8,11566.93333
16,0.28,0,19630.61272
16,0.28,1,21093.9661
16,0.28,2,23021.49398
16,0.28,4,24155.73333
16,0.28,6,20609.91045
16,0.28,8,11104.46377
16,0.43,0,19639.8674
16,0.43,1,21108.91339
16,0.43,2,23988.70588
16,0.43,4,24029.00719
16,0.43,6,20584.64234
16,0.43,8,10379.63636
16,0.56,0,19425.6
16,0.56,1,21298.36066
16,0.56,2,23852.52174
16,0.56,4,25878.15385
16,0.56,6,20598.15385
16,0.56,8,10471.11111
16,0.7,0,19692.84354
16,0.7,1,21730.35789
16,0.7,2,24615.38462
16,0.7,4,25175.84314
16,0.7,6,21830.4
16,0.7,8,10346.66667
20,0,0,21820.50909
20,0,1,23696.65428
20,0,2,21592.81633
20,0,4,21306.18182
20,0,6,17017.05426
20,0,8,10011.30667
20,0.14,0,20881.06667
20,0.14,1,22968.08989
20,0.14,2,22338.37037
20,0.14,4,22242.80702
20,0.14,6,18127.8797
20,0.14,8,9808.238806
20,0.28,0,21491.80952
20,0.28,1,23132.49032
20,0.28,2,23116.61314
20,0.28,4,22220.4031
20,0.28,6,17941.94286
20,0.28,8,9591.652174
20,0.43,0,21254.73684
20,0.43,1,22916.60432
20,0.43,2,23932.28986
20,0.43,4,23283.1195
20,0.43,6,18515.02703
20,0.43,8,9348.21978
20,0.56,0,21409.95918
20,0.56,1,23020.92549
20,0.56,2,24407.57895
20,0.56,4,23384.61538
20,0.56,6,19015.19527
20,0.56,8,9667.555556
20,0.7,0,20883.06383
20,0.7,1,23142.4
20,0.7,2,24238.45926
20,0.7,4,23912.53333
20,0.7,6,19184.94118
20,0.7,8,9728
25,0,0,20480
25,0,1,20942.18378
25,0,2,21440
25,0,4,18915.79661
25,0,6,15825.61074
25,0,8,9926.686567
25,0.14,0,19635.89189
25,0.14,1,20606.70707
25,0.14,2,21875.54864
25,0.14,4,20476.71795
25,0.14,6,16153.79845
25,0.14,8,9481.846154
25,0.28,0,20234.37838
25,0.28,1,21370.09231
25,0.28,2,21965.99417
25,0.28,4,20560.53933
25,0.28,6,15991.56886
25,0.28,8,9432.615385
25,0.43,0,20283.07692
25,0.43,1,21033.79592
25,0.43,2,22550.4
25,0.43,4,22217.88618
25,0.43,6,17180.76404
25,0.43,8,9188.894118
25,0.56,0,20358.98182
25,0.56,1,20982.6055
25,0.56,2,22455.65217
25,0.56,4,22333.89011
25,0.56,6,17425.45455
25,0.56,8,9512.811594
25,0.7,0,20480
25,0.7,1,20943.10112
25,0.7,2,22649.16726
25,0.7,4,22268.63158
25,0.7,6,18833.4964
25,0.7,8,9120.542373
