X1,X2,X3,Y
25,0.01,3,23244.8
25,0.01,7,18064
25,0.01,11,15645.53846
25,0.1,3,22640.64
25,0.1,7,17454.54545
25,0.1,11,15599.48387
25,0.15,3,22574.54545
25,0.15,7,17342.35897
25,0.15,11,15058.28571
25,0.2,3,21714.48889
25,0.2,7,16995.90244
25,0.2,11,15488
35,0.01,3,22249.73913
35,0.01,7,20924.08163
35,0.01,11,18298.98039
35,0.1,3,21421.55932
35,0.1,7,21234.16216
35,0.1,11,18070.85714
35,0.15,3,21610.14634
35,0.15,7,21092
35,0.15,11,17911.56044
35,0.2,3,21590.44156
35,0.2,7,21210.83871
35,0.2,11,17929.3945
45,0.01,3,13388.25532
45,0.01,7,22086.19355
45,0.01,11,20784.50526
45,0.1,3,13333.94286
45,0.1,7,22260.36364
45,0.1,11,20924.14458
45,0.15,3,13957.26027
45,0.15,7,22061.41935
45,0.15,11,20836.09023
45,0.2,3,13578.66667
45,0.2,7,22086.62069
45,0.2,11,20854.51852
