X1,X2,X3,Y
31,0.07,2.8,34537.6
31,0.07,4.1,33742.27338
31,0.07,6.7,29036.33623
31,0.07,9.3,20435.17845
31,0.07,11.9,14911.09005
31,0.12,2.8,32098.66667
31,0.12,4.1,33167.86777
31,0.12,6.7,27721.14286
31,0.12,9.3,18223.62791
31,0.12,11.9,13223.936
31,0.14,2.8,34265.42466
31,0.14,4.1,33576.96
31,0.14,6.7,27840.83117
31,0.14,9.3,18824.53333
31,0.14,11.9,14776.32
31,0.16,2.8,33121.97531
31,0.16,4.1,33131.10204
31,0.16,6.7,27530.44898
31,0.16,9.3,16983.46667
31,0.16,11.9,12244.61017
40,0.07,2.8,34002.60993
40,0.07,4.1,34697.75238
40,0.07,6.7,32954.42051
40,0.07,9.3,28668.25366
40,0.07,11.9,22476.31925
40,0.12,2.8,32259.36842
40,0.12,4.1,33757.65854
40,0.12,6.7,33097.89691
40,0.12,9.3,28065.07865
40,0.12,11.9,21836.25532
40,0.14,2.8,34113.82857
40,0.14,4.1,35770.57627
40,0.14,6.7,33738.66667
40,0.14,9.3,29162.66667
40,0.14,11.9,23062.58824
40,0.16,2.8,34136
40,0.16,4.1,35110.12766
40,0.16,6.7,33360.59259
40,0.16,9.3,26757.26027
40,0.16,11.9,21802.12658
48,0.07,2.8,30621.31298
48,0.07,4.1,32751.17714
48,0.07,6.7,34677.84127
48,0.07,9.3,33299.92814
48,0.07,11.9,30889.56701
48,0.12,2.8,28261.33333
48,0.12,4.1,31182.90411
48,0.12,6.7,34251.85185
48,0.12,9.3,32841.6
48,0.12,11.9,30472.20513
48,0.14,2.8,30280.20513
48,0.14,4.1,32910.22222
48,0.14,6.7,35249.23077
48,0.14,9.3,34078.27957
48,0.14,11.9,31475.5122
48,0.16,2.8,30590.24658
48,0.16,4.1,33021.71429
48,0.16,6.7,35435.10204
48,0.16,9.3,33233.45455
48,0.16,11.9,31107.72816
56,0.07,2.8,19010.37037
56,0.07,4.1,23210.66667
56,0.07,6.7,28801.71812
56,0.07,9.3,30668.63158
56,0.07,11.9,30540.7108
56,0.12,2.8,17091.04762
56,0.12,4.1,22084.41379
56,0.12,6.7,27653.12
56,0.12,9.3,30651.42857
56,0.12,11.9,31098.12844
56,0.14,2.8,3614.72
56,0.14,4.1,4809.810219
56,0.14,6.7,10246.4
56,0.14,9.3,10186.2029
56,0.14,11.9,11021.47368
56,0.16,2.8,19410.48889
56,0.16,4.1,24082.96296
56,0.16,6.7,30316.3964
56,0.16,9.3,32299.57447
56,0.16,11.9,32542.11765
65,0.07,2.8,2330.25641
65,0.07,4.1,8026.734177
65,0.07,6.7,20053.73585
65,0.07,9.3,22959.43147
65,0.07,11.9,24267.66851
65,0.12,2.8,2768
65,0.12,4.1,6163.692308
65,0.12,6.7,19696
65,0.12,9.3,22908.12121
65,0.12,11.9,25111.27273
65,0.14,2.8,1392
65,0.14,4.1,2428
65,0.14,6.7,4313.358491
65,0.14,9.3,6343.111111
65,0.14,11.9,4875.636364
65,0.16,2.8,2102.857143
65,0.16,4.1,7168
65,0.16,6.7,21068.10811
65,0.16,9.3,26233.26316
65,0.16,11.9,26528
